用户名,评论日期,车型款式,评星,裸车价,油耗,购车时间,评价内容
麒麟车手00331029,2022-03-28,奥迪A6L 2021款 45 TFSI 臻选动感型,5.00,36.8,13.5L/100km,2021-04,这应该算是人生中第一辆属于自己的车。事实上预先选车的时候没有考虑过A6L，刻板印象里认为A6L太老气，甚至都没有考虑过奥迪，因为除了三联屏内饰，奥迪的其他内饰设计真的不太符合我的审美。所以最开始看的是新4系，因为觉得外观够酷够帅够年轻，倒没怎么研究车的综合情况，价钱的话在预算范围内就好。但后来去宝马4S店了解了一下，新4系压根就没车，等车周期动则四个月到半年，所以pass。又看了五系和老款四系，宝马略显圆润的外观越看越觉得不喜欢。后来出门拐了个弯儿就顺路去了奥迪，一进门就被停在门口的一辆A8展车拴住眼球走不动路了，再往后看一辆香槟色的A7和一辆绿色的A5
8854556g,2020-07-23 1 条追评,奥迪A6L 2020款 45 TFSI quattro 尊享动感版,4.00,38.8,8.5L/100km,2020-06,我是16款君越28T车主，也是头一辆车。当时28万落地，之所以买君越，是因为刚30，我长得还有点小，那会的BBA车型的气场还足，压不住。早晚都是要要换车的。现在换，是因为这一代A6L外观年轻了一些。我也老了一些，最起码肚子大了很多，可以了。
快如闪电南瓜4017,2021-10-26,奥迪A6L 2021款 40 TFSI 豪华动感型,4.71,41.98,,2021-09,C级车，空间应该够用。后排很少坐人，偶尔周末回家，父母坐在后面，可以翘腿坐。不过后排座椅腿部支撑略小，不如老车的宽厚。 很平顺，低速顿挫我是感觉不出来。就是偶尔冷车刚起步，突然往前窜的很明显，可能是微混的原因吧。不太明白。主动刹车挺意外的，可能个人驾驶习惯不好，每次想加速变道超车，快逼近前车的时候，就主动刹车了。方向盘很舒服，越快越重越稳。动感的座椅很舒服。夏天冬天都很舒服。空调效果不错，可能是新车的原因，比老车制冷效果好。好看，适合年轻人。虽然比C7更加运动，但还是很稳重。马上三十岁了，开这车挺合适。氛围灯挺好看。三块大屏夜间在没有路灯的地方，看着很有
大步流星海棠果3976,2021-10-23,奥迪A6L 2019款 40 TFSI 豪华动感版,4.43,40.0,,2019-10,空间基本够用，前后排的座椅舒适度都还非常不错，后备箱的储物空间也够大。 乘坐的舒适度也还不错，如果后排再给预留娱乐系统位置就会更好一些。一脚油门到底，加速的连贯性还是非常不错的，超个车小意思。推背感可能是心里作用，总觉得有那么一丢丢。自备的驾驶模式多种选择，可以选择经济省油，可以选择运动猛造。加油，刹车的反应变还是非常灵敏，从美系车换到德系车刚开始需要适应一段时间。做了全车的隔音，四门，后备箱，轮胎，车底盘，防火墙U型槽，跑起来静音效果还是非常给力的。
才华盖世冬瓜4059,2021-10-21,奥迪A6L 2021款 45 TFSI 臻选动感型,4.86,40.1,14L/100km,2021-10,空间一定是选择这款车最主要的原因之一，正常身高的家人朋友们，四个人加一个车载宝宝椅也能够比较舒适的坐着，这是以前的c级无法想象的。 和以前梅赛德斯完全不一样的设计语言，还是很有新鲜感的，三块大屏加车内外的灯非常加分，灯厂无疑，但以后会不会出现毛病，还不好说，已经打好底会有毛病了。 之前的一阶c200 220匹6秒破百，如今年纪大了，也没精力改车了，干脆省点心换一台a6l，45前驱动感的动力一点不差，车评实测的7点多秒也是足够用了，毕竟换了身份也不想太过于追求更多的动力，当然有条件上55v6更加好了，多少钱办多少事嘛。 奥迪的电子助力一直不太能适应
酷炫的柠檬4130,2021-10-20,奥迪A6L 2019款 45 TFSI 臻选致雅版,5.00,36.0,9L/100km,2020-10,满意，前后空间满意，上下空间也满意。不过和原来车相比，原来车是7座的，肯定原来车更舒服。就是后排座椅角度太倾斜不舒服。 车内储物能力：是前排除功能不行。手机确实没有地方放。不过左手边有个很深的盒子。是放雨伞还是灭火器呀？后备箱处空间非常好，很规整，很深，也很宽。我准备放个兵工铲哈哈. 高速上风噪开始感觉略大一点，过了首保期之后，感觉噪音控制得比较好，静音还算挺好。长途高速最低排到6.3个油还是比较满意的。s档地板油还挺给力，试过几次，品牌和动力和之前的车肯定不是一个重量级的。所以感觉体验还是不错的。好车虽然没咋买过，但也开过，总觉得这个静音还不够好，还是
出类拔萃玉米4123,2021-10-19,奥迪A6L 2018款 30周年纪念版 TFSI 进取版,4.43,38.0,,2019-08,不论起步，自换档，还是刹车操作起来都十分流畅顺滑，只是在要刹停一秒有顿错感，不知是我操作问题不是。慢开急跑短长跑起来车身稳定性很好，基本没侧倾现象。无论城市里，城市间，上山下乡，还是中南西北中等地域动力十分有为强劲，开空调基本没影响。只是如满座5人后箱装满上10几公里大坡时开空调时有略感马力再大点就更好了的感觉。空间足够使用，前排十分宽大舒适，后排座2人十分恰当，可随便二郎腿和葛优躺。但人多了中间座会有不适。空间足够使用，前排十分宽大舒适，后排座2人十分恰当，可随便二郎腿和葛优躺。但人多了中间座会有不适。车机系统导航和功能受限，四S店服务太度外里不一，费
灵动的小树4143,2021-10-17,奥迪A6L 2019款 45 TFSI 臻选动感版,5.00,39.0,10L/100km,2020-10,外观经典，低调内敛，不会太高调，真要接待客户也能撑住场面，可上可下。内饰感觉用料比Q5L好太多，整体也简洁干练，不花哨，功能挺多的，还有好多不会用，要慢慢研究.空间太大了，长宽高都不是我原来雅阁能比的，加之我们全家个子都不大，所以空间刚刚的。乘坐空间非常大，但是储物空间还有提升空间啊.动力调教还是与我原来的雅阁有区别，雅阁是油门前段很足，所以市区开起来很轻快，但高速跑起来后提速上不来。A6L油门前段油门没有那么大，感觉软绵绵的，但是听说后面动力储备足，现在我也没有猛踩过，暂时就相信吧.市区电动车满天飞，有一次电动车从我车旁边飞驰而过，车辆有主动刹车预警，
开开心心猎豹4195,2021-10-09,奥迪A6L 2019款 45 TFSI 臻选致雅版,5.00,36.5,8.5L/100km,2020-10,最满意是空间，后排二郎腿没问题！油耗是真低，目前长期记忆将近7700公里，平均速度33.油耗8.5，三分一多点的高速，其余纯市区！高速最低开到5.1，佛系大叔，开车比较温柔的缘故吧！2.0高功版，动力绝对够用，80码转速基本在1500以内，高速120码，也不超过2000转！要不是自己开，打死也不信这么大的车可以这么省油！外观沉稳大气，内饰简洁操作方便简单！说了很多优点，缺点也不少，一年多下来，中控锁失灵发生过七八次吧，问过四儿子，说这一代a6很多都这样！还有一次打不这火，电话问了销售，告知深踩刹车踩到底，再打火，果然是！啥原因咱也不懂！还有自己买的obd
愉快的蟠桃3968,2021-10-09,奥迪A6L 2020款 40 TFSI 豪华动感版,4.29,40.0,,2020-10,奥迪A6L的外观设计标配运动外观套件，感觉也是十分动感，也是很有青春活力，感觉也是更加年轻化，很受我的喜欢。好多配置都需要额外选装了，第二排座椅还不能调节，感觉坐的时间长了也不是很舒服了。空间的设计对我来说还是非常合理的，坐到里面还是非常宽敞的，头部和腿部都是有放松的空间，后排翘个二郎腿也是没问题。后备箱的空间也是很大，感觉也是挺深的，可以容纳好多东西了。动力的表现还是很充沛的，给我的感觉也是可以达到一个很好的驾驶状况，刚开始起步还是非常迅速的，之后加速超车也是毫无压力了。
星驰电走金蟒4044,2021-10-06,奥迪A6L 2020款 55 TFSI quattro 尊享动感版,5.00,44.4,14L/100km,2021-07,1. 六缸发动机的动力和平顺性；2.底盘在运动和舒适间拿捏的度正好合我口味；3.20寸轮毂尺寸很满意，就是一开始不喜欢这款式（个人更喜欢单色亮银的那种，海外标轴版A6上的多幅轮毂好看），后来多看了几天也觉得还可以。1.前排储物空间确实有点少，方向盘左下角那个抽屉很小很深，因为太伸入了所以感觉放证件也不合适，我觉得可能设计着是让你放小型灭火器的；2.假排气口吧，其实做工也还可以，人家新A8也都这个款式了，看到网上有人说向下走的真排气口有利于减少排放，我没想明白，从下排和从后排都是排到空气中，又不能排到地下去？油耗在接受范围内，有48v轻混，比传统六缸车应该
超群的风信子4230,2021-09-28,奥迪A6L 2020款 55 TFSI quattro 尊享动感版,4.43,54.0,,2021-03,我觉得奥迪A6L的满意的点我是真的还觉得有蛮多的，这个空间就是很好的，乘坐空间十分的大，轴距超级长，这个乘坐空间我觉得如果还不够的话，那就没啥车的乘坐空间充足了。我觉得油耗稍微的有一点超出我的预期，但是这个油耗也不算是高的吧，车子毕竟有这么大的，排量也是不小的，这个油耗也算是正常的吧，还有一点就是买车送我的东西是在是太少了。我觉得奥迪A6L的空间是很好的，这个乘坐空间如果还不能叫做宽敞的话，我感觉基本上也没什么车子的乘坐空间是足够了的，我这么大的个子，都觉得奥迪A6L的乘坐空间太够用了。奥迪A6L的动力排量还是不小的，但是这个是低马力的配置，毕竟还是带
酷炫的企鹅4153,2021-09-25,奥迪A6L 2020款 40 TFSI 豪华动感版,5.00,34.0,8.2L/100km,2021-06,性价比超高！ 空间大，商用家用两相宜，不必多说。 基础配置不错，标配的东西实用，该有的基本都配备了。 动力足够，我认为正常使用绝对绝对没问题，人1.5t都够用，这2.0t怎么不够用了？当然，你把它当法拉利开，当卡车拉货，当公交车拉人，这肯定不够用。 整体驾驶感受不错，包括底盘反馈，nvh，动力响应，操控轻松，三大件的匹配调校等，都是同级别优秀水平，不输bb的同档同级同价产品。个人觉得a6还是一如既往的中庸设计取向。我没看出哪里激进，从内到外，连皮带骨都是均衡的表现，没有特别优秀的地方，但你也挑不出啥毛病。别人做的差的地方，它起码还有点良心，方方面面起码说
大气的芒果4018,2021-09-24,奥迪A6L 2021款 45 TFSI quattro 臻选动感型,5.00,41.8,10.5L/100km,2021-06,空间 这辆车的空间还是比较不错吧，无论是乘坐空间还是储存空间，我觉得都是非常的够用，特别是在储存空间方面，这一点也是做得非常的好，如果想要出行旅游的话，放好几个行李箱是完全不在话下的。 外观 这辆车的外观就更加好看了，这也是令我最满意的一个地方，家族式的前脸，让它的辨识度非常的高，而且也是非常的好看，从侧面看，整辆车的车身线条感也是非常的霸气。 内饰 我会认为这辆车饰方面做得非常的好看，简单大气而又透露着豪华感，这就是我对这辆车内饰最大的理解，而且这款车的内饰方面，科技感还非常强的。 动力 我认为这辆车的动力非常的强劲，特别是起步的时候，那股强劲的
超群绝伦小马4046,2021-09-13,奥迪A6L 2021款 45 TFSI 进享人生版,4.43,44.0,9.2L/100km,2021-08,选这款车前，奔驰E300L（试驾过）、奔驰GLC300L（试驾过）、雷克萨斯RX（试驾过）、雷克萨斯ES300H、宝马X4（宝马5系家里因为有一辆没去看）、进口大众途锐2.0T锐尚版（试驾过），最终综合考虑下来，还是选择了这个奥迪21款45进享人生版。奔驰E300L改款后外观感觉一般了，内饰那是有奔驰范，豪华感强，但是车身用材和驾驶感受不是我所喜欢的；奔驰GLC300L新款改进了点，但是那个发动机加速噪音、车身长度也没有引起我的强烈购买欲望；雷克萨斯RX开起来的发动机加速线性和噪音实在不敢恭维，操控性不是我的菜，尽管有售后服务保障，那也是加价提车车主提前
风华绝代土豆4135,2021-09-11,奥迪A6L 2020款 40 TFSI 豪华动感版,4.71,40.0,8.9L/100km,2020-11,会选择这辆车，是因为它的性价比，我觉得这辆车的性价比是挺不错的，价格方面还算合理，而且配置方面也是杠杠的，非常的实用。对于外观方面，我真的是非常的满意，前年的设计，真的是非常的好看而且车身也是很湿滑，看起来非常的好看，整体看上去非常的时尚大气。放在现在跟新款比起来也不会落伍。内饰方面我觉得还算是挺不错的，用量方面比较良心，而且它的分布还是挺合理的，看起来非常的好看。性价比我觉得挺不错的，虽然说在空间方面还有舒适度方面做的不是特别特别的满意，但是其他方面我觉得还算是可以的。
超群绝伦牡丹4905,2021-08-16,奥迪A6L 2021款 40 TFSI 豪华动感型,4.29,35.2,10.2L/100km,2021-08,1.动力够用，一般人绝对够用（即使拿来嘣其他车） 2.外观大气，比E级强的不是一点点，选车时压根不考虑e 3.内饰漂亮，特别是加装了梣木内饰，虽然奔驰内饰感觉bba里第一，但是奥迪这款内饰确实进步很多，个人觉得比宝马强 4.油耗还可以，一半高速一半市区10.2，跟第一辆老款别克比起来这都不是事 5.操控可以，比较5系差别不明显（但是还是有点差距），e就不提操控了（除了内饰好点啥也不是） 6.顿挫？基本不存在，排除5系就是因为地库出口起步的顿挫和低速拖档 7.说说缺点:选装的20寸大轮毂，高速噪音大的没法形容，选装的原因自己忍了，可是你给了个一脚踢为啥从来
过目不忘冬瓜5455,2021-02-05 2 条追评,奥迪A6L 2021款 45 TFSI 臻选致雅型,5.00,37.15,7.5L/100km,2021-02,人生中第三辆车，看过奔驰E2601.5t➕48付轻混，感觉动力后期不行，E300提车需要加价，而且4门两盖不是钼合金的，也看过宝马525和530，今年不知道是疫情原因还是怎么了，宝马也没有优惠了，21款宝马5系，在南京居然不优惠，拿人当韭菜割，放弃了奔驰宝马，偶然间接到奥迪销售电话告诉我奥迪现在可以优惠7万多，第二天去看车试驾，觉得还是45TFSI动力比较强，1.12号直接订车
车手51386924VE,2021-08-09,奥迪A6L 2015款 35 FSI quattro技术型,4.00,49.98,12L/100km,2015-05,关于这款自然吸气a6给我的综合感觉还是不错的，首先空间大，对于一般的家庭来说，坐四个人是非常的舒适的，后备箱空间大小适中，地盘软硬适中，过减速带非常舒服。缺点比较明显2.8自然吸气6缸的机器并没有给我带来很强的动力，百公里加速8.9秒真的是有点无力，平常市区跑比较费油，只能说买它当时只是为了他的地盘舒适，空间大，还有他的四驱系统。7档双离合还好是自然吸气的车，要不也许顿挫会很大吧
车手47398338YN,2021-06-27,奥迪A6L 2019款 45 TFSI 臻选动感版,5.00,41.0,10L/100km,2019-04,科技感提升了，很多，外观也年轻了，动力不错，空间很大，足够用，
恁的高先生Tr,2021-05-28,奥迪A6L 2008款 2.4舒适型,5.00,55.0,12L/100km,2008-10,外观：外观很满意，外形稍显低调，但不缺乏时尚动感，整车的线条体现更是完整，看起来更为流畅。内饰：客观的讲，对于一辆45万左右的车来说，内饰只能说是过得去，不过新车的味道比我想象的要小得多。 空间：乘坐空间非常够用。储物空间：储物空间不够，后尾车箱空间不够用。出游时体会到的。配置：电动后备箱居然是选配的，就让我安静地吐槽一会吧。 动力：没感觉不够用，只要你敢给油它就敢给你推背感的加速，在等红灯起步时候，你会发现很多车头在你的后视镜里面徐徐前进，也许是别人温柔驾驶吧。操控：总体来说操控性还是不错的。车子转向比较灵活，方向盘很轻。 油耗：市区油耗11个多油，高
车手32390343ZJ,2021-02-20 1 条追评,奥迪A6L 2021款 45 TFSI quattro 臻选动感型,5.00,39.0,11L/100km,2020-12,我最先看中的是glc coupe和A6，但是奔驰的油耗普遍比奥迪多一点，养护费用也高一点
戎石wl807f,2021-05-12 1 条追评,奥迪A6L 2016款 30 FSI 舒适型,5.00,38.5,7.6L/100km,2017-04,空间大，动力十足。驾乘舒适，行驶平顺，油耗低，百公里七个油。外观漂亮，内饰清秀。美中不足是立屏太小，导航不能更新几乎被废掉了。底盘偏低，稍微高一点的马路牙子就上不去。没有无钥匙进入也是一个不足，座椅加热通风都是加装增加了成本。其他就没什么了。总之是一款我所以爱的好车！
开黑吗出库,2021-05-05,奥迪A6L 2020款 45 TFSI 臻选动感版,4.86,36.6,9.6L/100km,2020-10,买这款奥迪A6L一大部分原因还是看重了它的独特的外观设计了，感觉非常时尚炫酷，独有的运动外观套件感觉设计也是非常年轻了，很时尚潮流，别具一格。 最满意 新款A6变得更运动了，一改以往官车形象。而且航空虚拟座舱式的涉及真是科技感爆棚，加上氛围灯的装饰，比较符合年轻人的口味。但最重要的是品牌官降给力，BBA同级里优惠幅度最高的车型了。 最不满意 新车味道很大，音响有核磁共振的情况发生。时不时有车子怠速抖动的情况。另外车内音响效果很普通拆车一看只有10个喇叭，还没有品牌。作为豪华车型，这么偷工减料确实说不过去。 空间 空间很大，奥迪抠空间的能力名不虚传。我1米
阎少峰万豫y66,2021-04-29,奥迪A6L 2020款 40 TFSI 豪华动感版,5.00,36.0,8.8L/100km,2020-04,【空间】 空间那是超级大，后排各种葛优躺!家人朋友坐后排都很舒适，减一颗星就是前排找不到合适位置放手机。 【动力】 190马力对我来说足够了，本来是想买45高功率，试驾下来感觉动力差不多，而且长时间用车都是上下班，距离不到5公里。预算足肯定推荐55，不会推荐45。 【操控】 方向盘非常轻盈，比我现在八代雅阁和君威轻盈多了，刹车也很满意!底盘也挺有高级感。减一颗星是因为感应后备箱太差了，建议厂家换电动尾门或换个座椅加热、车道保持之类。 【油耗】 开空调。目前综合油耗在12.5，和我爱人的君威差不多。我不理解大家低于10个油是怎么开出开的。 【舒适性】 我感
Fairy晴,2021-04-19,奥迪A6L 2021款 40 TFSI 豪华动感型,5.00,35.0,10L/100km,2014-04,奥迪A6L，低调奢华有内涵哈哈哈😄这个黑色的是老公选的，偶尔我限行也会开着调整调整出行，所以这个车子总体还是比较满意的，首先空间还是比较宽敞一家三口非常够用的，然后这款车舒适度也还可以，商务感满满但是还算比较柔然温和，而且操控起来比较轻盈舒适，属于一家三口性价比相对比较好的选择，重点是油耗很友好，一家人使用非常方便，值得拥有。
紫色葫芦媚,2021-03-01,奥迪A6L 2020款 45 TFSI quattro 臻选动感版,4.57,39.4,10.5L/100km,2020-07,主要还是因为要买来家用吧，舒适度也够，外观也很大气，开出去有面子。
会唱歌的云俣,2021-03-01,奥迪A6L 2020款 40 TFSI 豪华致雅版,4.71,34.4,8.1L/100km,2020-06,平常主要上下班加偶尔外出见客户用，对于动力方面没有极致要求，运动模式下也能有推背感感觉还可以，高速上跑感觉有点力不从心，对于超车等动作不自信，感觉比宝马的提速还是差点。
指尖余温ru,2021-02-28,奥迪A6L 2020款 40 TFSI 豪华动感版,4.86,34.35,8.3L/100km,2020-08,便宜，优惠。非常适合我作为第一辆车使用的车型。
郑炜888,2021-02-27,奥迪A6L 2018款 30 FSI 典藏版,4.86,38.0,11L/100km,2018-12,一直很喜欢奥迪的车，感觉没那么高调还不失地位，很喜欢这个自吸v6加cvt变速箱，开起来很稳，挂上S档动力瞬间就上去了，可攻可守，而且不烧机油，这个特别好，还有感觉18款的前后LED灯特别漂亮。
至少我曾经,2021-02-24,奥迪A6L 2020款 40 TFSI 豪华动感版,4.86,34.38,8.3L/100km,2020-11,优惠幅度大，喜欢A8实力不够啊，感觉没有选择错误，没有失望。
远驾驭,2021-02-20,奥迪A6L 2020款 45 TFSI 臻选动感版,4.43,36.48,10.5L/100km,2020-08,前前后后看了凯迪拉克CT6，雷克萨斯ES260，沃尔沃S90，奔驰E300，宝马530LI等等，觉得奥迪的优惠挺大的，维修保养业方便。
声名从此大评,2021-02-09,奥迪A6L 2020款 45 TFSI quattro 臻选致雅版,4.43,39.98,8.7L/100km,2020-08,个人比较偏向于轿车吧，买这台车之前一直在钻研530Li，比较想入手，后来父亲大人觉得五系开着太年轻，在我万般洗脑之下还是被迫选择了放弃，毕竟我没出这个钱，没选择E级是在农村显得高调，去年家里新增加了两位成员，感觉还是买大一点的车子比较好，五口之家出行什么的后排空间也极其大，比老雅阁大多了。
西厢明月渡,2021-02-08,奥迪A6L 2020款 40 TFSI 豪华动感版,4.43,37.0,10.6L/100km,2020-02,之前看325Li，优惠大，各方面中规中矩，外加宝马销售的不负责任，试驾发现新6a真还可以，自己也32岁了，就选他吧。
百折不挠轿跑4909,2021-02-06,奥迪A6L 2020款 45 TFSI quattro 臻选动感版,4.86,38.32,11L/100km,2020-06,相比同级别宝马奔驰，性价比很高。这个价格买宝马奔驰买不了太高配置。相比奔驰的沉稳雅致，宝马的小家碧玉，我还是更喜欢奥迪这股子酷劲
不说不可能婪,2021-02-05,奥迪A6L 2020款 45 TFSI quattro 臻选动感版,4.57,36.76,10.5L/100km,2020-10,40-45-45quattro 没有麻烦的选择，我一直以来都喜欢奥迪，本来考虑了几天A4和A5，或许是空间和老款内饰的问题，一开始想买40的，因为便宜，也有点虚荣心吧，主要还是觉得40的配置就足够我用了，我对配置要求没有那么复杂。可是氛围灯我特别喜欢，家里面我最喜欢灯光的布置，无奈40没有，只能看看45了，然后订车。
车手30225309NH,2021-02-03,奥迪A6L 2021款 40 TFSI 豪华致雅型,5.00,41.0,9L/100km,2020-09,老丈人是奥迪忠实粉丝 第二辆车还买的A6L
你的存在不,2021-01-31,奥迪A6L 2020款 40 TFSI 豪华致雅版,4.71,35.98,9.8L/100km,2020-09,我觉得我这个年纪了也该换个好点的车了，自己有也这个经济能力，就换了。
裙de女孩,2021-01-31,奥迪A6L 2020款 40 TFSI 豪华动感版,4.43,35.98,8.9L/100km,2020-07,在看A6之前，跟朋友去车展逛直接定了QX50，其实这车也还不错，四驱，270匹，符合我的需求，后来跟朋友们一起吃饭，都建议我这个预算肯定上BBA，于是第二天就去退定金，还白白损失了2000块钱；然后就决定去买Q5，看中天云灰，价格都谈好了，后来被告知谈好的价格不卖了，临时涨价，可能因为这个颜色比较稀少不愁卖。接着销售建议直接上A6，看了内饰比较吸引我，这样马上谈了价格就定了A6，现在想想还是买到了最值得买的车。
撩友缇式秭案,2021-01-27,奥迪A6L 2020款 45 TFSI 臻选动感版,5.00,43.5,8L/100km,2020-12,经济实惠，养车方面也不会有太大的经济压力，而且车的空间也足够日常使用，整体来说，这款车很值这个价格的。
屿卿杀手,2021-01-25,奥迪A6L 2020款 40 TFSI 豪华动感版,4.71,35.98,8.9L/100km,2020-05,当时优惠幅度比较大，性价比满大的，然后奥迪a6l是一个比较均衡的车型。
居心演员,2021-01-24,奥迪A6L 2020款 45 TFSI quattro 尊享动感版,4.57,45.68,10.4L/100km,2020-09,我一直就想买A6L了，现在经济预算方面比较宽裕了，果断就换了A6L。A6L的性价比蛮好的，入手的我觉得还是很划算的。
雪月花月,2021-01-23,奥迪A6L 2020款 45 TFSI 臻选动感版,4.71,36.96,9.5L/100km,2020-07,最开始一直在易车关注Q5L，后来去试驾整体很失望尤其内饰Q3都比他好太多果断放弃，宝马没好感，舅老爷前段时间买了开过几天坐姿和视线不如A6开着轻松。
信人19號收,2021-01-23,奥迪A6L 2021款 45 TFSI 臻选动感型,4.86,37.78,8.6L/100km,2020-12,上个车是宝马老款5系，不想在宝马了，然后奔驰e也考虑过，不过喷子多怕真的质量不行，而且e中期改款有点丑，所以试试奥迪。
婶今儿个寄,2021-01-23,奥迪A6L 2020款 55 TFSI quattro 旗舰动感版,4.86,54.63,11.9L/100km,2020-06,"其实从去年底开始, 我就已经把换车提上了日程,当时试驾了: A7 ( 2019款3.0t)、A6L( 45tfsi)、5系(525)、Q5L、GLC300、 X3、 XT6, 有人肯定问咋没有E300L ,因为我第一个pass掉的就是E300L, 之前长途开过,座椅真的不舒服总感觉坐上去是歪的(也有可能是我的屁股歪,我可不是奔驰的黑子哦) , 而且开过C8这代A6L后再对比E300，最后还是选择了A6L的55旗舰动感"
提起罚薄姬,2021-01-22,奥迪A6L 2020款 40 TFSI 豪华致雅版,4.57,35.98,8.9L/100km,2020-10,我感觉我能够选择奥迪A6L原因很简单，就是因为价格好，很便宜，用起来也高大上。
